Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
PKD2L2-DT	ENSG00000250159	5:137809780-137889394:-1	lncRNA	PKD2L2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55557]	.	0	Llonch 2021	1	yes
FZD10-AS1	ENSG00000250208	12:130144315-130162256:-1	lncRNA	FZD10 antisense divergent transcript [Source:HGNC Symbol;Acc:HGNC:48632]	Barone 2020	1	.	0	yes
ALDH1L1-AS1	ENSG00000250218	3:126103640-126108069:1	lncRNA	ALDH1L1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40244]	.	0	Ntostis 2021	1	yes
LINC01612	ENSG00000250266	4:170226535-170284881:1	lncRNA	long intergenic non-protein coding RNA 1612 [Source:HGNC Symbol;Acc:HGNC:51837]	.	0	This study	1	yes
MRPS31P4	ENSG00000250299	13:52617558-52637446:1	transcribed_unprocessed_pseudogene	mitochondrial ribosomal protein S31 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42649]	Llonch 2021	1	.	0	yes
ZNF718	ENSG00000250312	4:124501-202303:1	protein_coding	zinc finger protein 718 [Source:HGNC Symbol;Acc:HGNC:26889]	Ntostis 2021	1	.	0	yes
SNRPCP16	ENSG00000250342	4:9051842-9052051:-1	processed_pseudogene	small nuclear ribonucleoprotein polypeptide C pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:49831]	Ntostis 2021	1	.	0	yes
KIAA1210	ENSG00000250423	X:119078635-119150579:-1	protein_coding	KIAA1210 [Source:HGNC Symbol;Acc:HGNC:29218]	Barone 2020	1	.	0	yes
LRRC37BP1	ENSG00000250462	17:30629680-30637302:1	transcribed_unprocessed_pseudogene	leucine rich repeat containing 37B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:25390]	Barone 2020, This study	2	.	0	yes
KRT18P51	ENSG00000250504	4:144572238-144572983:1	processed_pseudogene	keratin 18 pseudogene 51 [Source:HGNC Symbol;Acc:HGNC:33421]	.	0	Zhang 2020	1	yes
NUDT16-DT	ENSG00000250608	3:131325092-131381656:-1	lncRNA	NUDT16 divergent transcript [Source:HGNC Symbol;Acc:HGNC:27947]	.	0	This study	1	yes
ENSG00000250619	ENSG00000250619	5:9001774-9045940:1	lncRNA	novel transcript	.	0	This study	1	yes
NAIPP1	ENSG00000250687	5:70473448-70478581:1	transcribed_unprocessed_pseudogene	NAIP pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54492]	Llonch 2021	1	.	0	yes
ENSG00000250829	ENSG00000250829	4:186890969-186892366:1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
PPP4R2P1	ENSG00000250848	5:288833-290321:-1	processed_pseudogene	PPP4R2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56513]	Llonch 2021	1	.	0	yes
METTL21EP	ENSG00000250878	13:102880040-102896033:1	protein_coding	methyltransferase like 21E, pseudogene [Source:HGNC Symbol;Acc:HGNC:41948]	.	0	Barone 2020	1	yes
ZFPM2-AS1	ENSG00000251003	8:105546089-106060524:-1	lncRNA	ZFPM2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50698]	.	0	Ntostis 2021	1	yes
THAP9-AS1	ENSG00000251022	4:82893009-82900960:-1	lncRNA	THAP9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44172]	Zhang 2020	1	.	0	yes
ZNF674	ENSG00000251192	X:46497725-46545457:-1	protein_coding	zinc finger protein 674 [Source:HGNC Symbol;Acc:HGNC:17625]	.	0	Ntostis 2021, This study	2	yes
MIR3945HG	ENSG00000251230	4:184843296-184855751:-1	lncRNA	MIR3945 host gene [Source:HGNC Symbol;Acc:HGNC:52002]	.	0	This study	1	yes
SHANK3	ENSG00000251322	22:50674415-50733212:1	protein_coding	SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]	.	0	Barone 2020, Llonch 2021	2	yes
ZNF550	ENSG00000251369	19:57535257-57559863:-1	protein_coding	zinc finger protein 550 [Source:HGNC Symbol;Acc:HGNC:28643]	.	0	This study	1	yes
LINC00958	ENSG00000251381	11:12961541-12989597:-1	lncRNA	long intergenic non-protein coding RNA 958 [Source:HGNC Symbol;Acc:HGNC:48671]	Barone 2020	1	.	0	yes
MALAT1	ENSG00000251562	11:65497640-65508073:1	lncRNA	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]	.	0	Ntostis 2021	1	yes
ENSG00000253100	ENSG00000253100	8:25593197-25688786:1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
TUG1	ENSG00000253352	22:30969245-30979395:1	protein_coding	taurine up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:26066]	This study	1	.	0	yes
ENSG00000253539	ENSG00000253539	8:99796615-99799187:-1	lncRNA	novel transcript	This study	1	.	0	yes
OSGEPL1-AS1	ENSG00000253559	2:189762704-189765556:1	lncRNA	OSGEPL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41009]	.	0	Ntostis 2021	1	yes
ENSG00000253634	ENSG00000253634	8:92460539-92655576:-1	lncRNA	novel transcript	.	0	This study	1	yes
PRSS51	ENSG00000253649	8:10482878-10547624:-1	protein_coding	serine protease 51 [Source:HGNC Symbol;Acc:HGNC:37321]	.	0	Ntostis 2021	1	yes
LNCOC1	ENSG00000253741	8:142701857-142727056:-1	lncRNA	lncRNA associated with ovarian cancer 1 [Source:HGNC Symbol;Acc:HGNC:53947]	.	0	Ntostis 2021	1	yes
LINC01030	ENSG00000253799	8:90592804-90606065:-1	lncRNA	long intergenic non-protein coding RNA 1030 [Source:HGNC Symbol;Acc:HGNC:49016]	.	0	Barone 2020	1	yes
ZNF260	ENSG00000254004	19:36510687-36528271:-1	protein_coding	zinc finger protein 260 [Source:HGNC Symbol;Acc:HGNC:13499]	.	0	Grondahl 2010	1	yes
LINC01299	ENSG00000254081	8:65526738-65562781:-1	lncRNA	long intergenic non-protein coding RNA 1299 [Source:HGNC Symbol;Acc:HGNC:27839]	Barone 2020	1	.	0	yes
PINX1	ENSG00000254093	8:10764961-10839884:-1	protein_coding	PIN2 (TERF1) interacting telomerase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30046]	Pan 2008, This study	2	.	0	yes
LINC02055	ENSG00000254101	8:135859369-137092183:1	lncRNA	long intergenic non-protein coding RNA 2055 [Source:HGNC Symbol;Acc:HGNC:52895]	.	0	This study	1	yes
HMGB1P46	ENSG00000254146	8:107173200-107173809:-1	processed_pseudogene	high mobility group box 1 pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:39279]	Llonch 2021	1	.	0	yes
MAPK6P5	ENSG00000254185	8:109470131-109471117:1	processed_pseudogene	mitogen-activated protein kinase 6 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:18979]	This study	1	.	0	yes
ENSG00000254340	ENSG00000254340	8:9141424-9145503:1	lncRNA	novel transcript	.	0	Llonch 2021	1	yes
LRRC24	ENSG00000254402	8:144522388-144527033:-1	protein_coding	leucine rich repeat containing 24 [Source:HGNC Symbol;Acc:HGNC:28947]	.	0	Ntostis 2021	1	yes
HSPB2-C11orf52	ENSG00000254445	11:111912736-111926871:1	protein_coding	HSPB2-C11orf52 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41996]	.	0	Ntostis 2021	1	yes
FPGT	ENSG00000254685	1:74198238-74234086:1	protein_coding	fucose-1-phosphate guanylyltransferase [Source:HGNC Symbol;Acc:HGNC:3825]	.	0	Ntostis 2021	1	yes
ENSG00000254719	ENSG00000254719	11:10272052-10272259:-1	processed_pseudogene	guanine nucleotide binding protein (G protein) pseudogene	.	0	This study	1	yes
ENSG00000254731	ENSG00000254731	11:86703099-86714092:1	lncRNA	novel transcript	Llonch 2021, This study	2	.	0	yes
EEF1G	ENSG00000254772	11:62559596-62574086:-1	protein_coding	eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213]	Barone 2020	1	.	0	yes
ENSG00000254777	ENSG00000254777	8:60910053-60966557:1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
FDPSP4	ENSG00000254793	15:42939310-42940358:-1	processed_pseudogene	farnesyl diphosphate synthase pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:3635]	Ntostis 2021	1	.	0	yes
MPV17L2	ENSG00000254858	19:18193218-18196948:1	protein_coding	MPV17 mitochondrial inner membrane protein like 2 [Source:HGNC Symbol;Acc:HGNC:28177]	Yuan 2021	1	Ntostis 2021	1	no
OPCML-IT1	ENSG00000254896	11:133360029-133366080:-1	lncRNA	OPCML intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41366]	.	0	Zhang 2020	1	yes
BORCS8	ENSG00000254901	19:19176903-19192591:-1	protein_coding	BLOC-1 related complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:37247]	This study	1	.	0	yes
ANO1-AS1	ENSG00000254902	11:70187788-70188509:-1	lncRNA	ANO1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40016]	Ntostis 2021	1	.	0	yes
SCARNA9	ENSG00000254911	11:93721513-93721865:1	lncRNA	small Cajal body-specific RNA 9 [Source:HGNC Symbol;Acc:HGNC:32566]	This study	1	Llonch 2021	1	no
TRIM77BP	ENSG00000254993	11:49117010-49124570:-1	unprocessed_pseudogene	tripartite motif containing 77B, pseudogene [Source:HGNC Symbol;Acc:HGNC:43980]	Llonch 2021	1	Zhang 2020	1	no
ANKHD1-EIF4EBP3	ENSG00000254996	5:140401908-140549569:1	protein_coding	ANKHD1-EIF4EBP3 readthrough [Source:HGNC Symbol;Acc:HGNC:33530]	.	0	Ntostis 2021	1	yes
BRK1	ENSG00000254999	3:10115675-10127190:1	protein_coding	BRICK1 subunit of SCAR/WAVE actin nucleating complex [Source:HGNC Symbol;Acc:HGNC:23057]	Barone 2020	1	This study	1	no
SAA2-SAA4	ENSG00000255071	11:18231423-18248635:-1	protein_coding	SAA2-SAA4 readthrough [Source:HGNC Symbol;Acc:HGNC:39550]	.	0	Ntostis 2021	1	yes
PIGY	ENSG00000255072	4:88520998-88523776:-1	protein_coding	phosphatidylinositol glycan anchor biosynthesis class Y [Source:HGNC Symbol;Acc:HGNC:28213]	.	0	Ntostis 2021	1	yes
ZFP91-CNTF	ENSG00000255073	11:58579172-58624639:1	protein_coding	ZFP91-CNTF readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:33441]	Llonch 2021	1	.	0	yes
ENSG00000255087	ENSG00000255087	11:127021736-127172363:1	lncRNA	novel transcript	This study	1	.	0	yes
LINC02721	ENSG00000255133	11:33813873-33822378:-1	lncRNA	long intergenic non-protein coding RNA 2721 [Source:HGNC Symbol;Acc:HGNC:54238]	.	0	Llonch 2021	1	yes
MSH5-SAPCD1	ENSG00000255152	6:31740020-31764851:1	protein_coding	MSH5-SAPCD1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41994]	Ntostis 2021	1	.	0	yes
TREHP1	ENSG00000255239	11:118688033-118690599:-1	unprocessed_pseudogene	trehalase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51907]	Ntostis 2021	1	.	0	yes
OR8G5	ENSG00000255298	11:124256376-124266224:1	protein_coding	olfactory receptor family 8 subfamily G member 5 [Source:HGNC Symbol;Acc:HGNC:19622]	This study	1	.	0	yes
OR5BA1P	ENSG00000255303	11:57866298-57867279:-1	transcribed_unprocessed_pseudogene	olfactory receptor family 5 subfamily BA member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15270]	.	0	Ntostis 2021	1	yes
OOSP4B	ENSG00000255393	11:59978020-60031095:1	protein_coding	oocyte secreted protein family member 4B [Source:HGNC Symbol;Acc:HGNC:53905]	.	0	Llonch 2021	1	yes
NASPP1	ENSG00000255397	8:60937705-60939871:-1	processed_pseudogene	nuclear autoantigenic sperm protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29910]	This study	1	.	0	yes
HCAR3	ENSG00000255398	12:122714756-122716811:-1	protein_coding	hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:16824]	.	0	Barone 2020	1	yes
OR8G3P	ENSG00000255425	11:124211707-124215828:1	protein_coding	olfactory receptor family 8 subfamily G member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:14698]	This study	1	.	0	yes
ENSG00000255457	ENSG00000255457	8:13695574-13705506:1	processed_pseudogene	septin 8 (SEPT8) pseudogene	This study	1	.	0	yes
POLR2M	ENSG00000255529	15:57706695-57782762:1	protein_coding	RNA polymerase II subunit M [Source:HGNC Symbol;Acc:HGNC:14862]	.	0	Llonch 2021	1	yes
NOX4P1	ENSG00000255532	11:49305714-49379488:1	transcribed_unprocessed_pseudogene	NOX4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56735]	This study	1	.	0	yes
C10orf88B	ENSG00000255624	10:122879851-122898024:1	transcribed_processed_pseudogene	C10orf88B (pseudogene) [Source:HGNC Symbol;Acc:HGNC:44080]	Llonch 2021	1	.	0	yes
DNAAF4	ENSG00000256061	15:55410525-55508234:-1	protein_coding	dynein axonemal assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21493]	Llonch 2021	1	.	0	yes
LINC00507	ENSG00000256193	12:127914707-127960028:1	lncRNA	long intergenic non-protein coding RNA 507 [Source:HGNC Symbol;Acc:HGNC:43558]	Barone 2020	1	.	0	yes
ZNF10	ENSG00000256223	12:133130575-133159465:1	protein_coding	zinc finger protein 10 [Source:HGNC Symbol;Acc:HGNC:12879]	.	0	Barone 2020	1	yes
ZNF486	ENSG00000256229	19:20167214-20200488:1	protein_coding	zinc finger protein 486 [Source:HGNC Symbol;Acc:HGNC:20807]	Barone 2020	1	.	0	yes
CACNA1C-AS2	ENSG00000256271	12:2668500-2672220:-1	lncRNA	CACNA1C antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40118]	.	0	Ntostis 2021	1	yes
POLG2	ENSG00000256525	17:64477785-64497054:-1	protein_coding	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	Barone 2020	1	Steuerwald 2007	1	no
A2ML1-AS1	ENSG00000256661	12:8776219-8830947:-1	lncRNA	A2ML1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41022]	Llonch 2021	1	.	0	yes
SNRPEP2	ENSG00000256968	9:6748703-6748981:-1	processed_pseudogene	SNRPE pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:20733]	.	0	Llonch 2021	1	yes
LSM14A	ENSG00000257103	19:34172504-34229288:1	protein_coding	LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]	.	0	Yuan 2021	1	yes
TMPO-AS1	ENSG00000257167	12:98512973-98516422:-1	lncRNA	TMPO antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44158]	Zhang 2020	1	.	0	yes
GATC	ENSG00000257218	12:120446444-120463749:1	protein_coding	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	.	0	Ntostis 2021	1	yes
LNCOG	ENSG00000257219	12:76259836-76305969:1	lncRNA	lncRNA osteogenesis associated [Source:HGNC Symbol;Acc:HGNC:53336]	.	0	Ntostis 2021	1	yes
KIRREL3-AS1	ENSG00000257271	11:126543947-126610948:1	lncRNA	KIRREL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42655]	Ntostis 2021	1	.	0	yes
ZBED6	ENSG00000257315	1:203795623-203854124:1	protein_coding	zinc finger BED-type containing 6 [Source:HGNC Symbol;Acc:HGNC:33273]	This study	1	.	0	yes
ENSG00000257386	ENSG00000257386	12:74538145-74538633:-1	lncRNA	novel transcript, antisense to ATXN7L3B	Llonch 2021	1	.	0	yes
ENSG00000257452	ENSG00000257452	12:112907628-113017751:-1	lncRNA	novel transcript, antisense to OAS1, OAS2 and OAS3	Llonch 2021	1	.	0	yes
ENSG00000257587	ENSG00000257587	12:73906940-73919337:1	lncRNA	novel transcript	.	0	This study	1	yes
ENSG00000257624	ENSG00000257624	12:112000739-112000985:-1	processed_pseudogene	immediate early response 3 interacting protein 1 (IR3IP) pseudogene	This study	1	.	0	yes
KRT7-AS	ENSG00000257671	12:52245048-52247448:-1	lncRNA	KRT7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52643]	.	0	Ntostis 2021	1	yes
FNBP1P1	ENSG00000257800	2:74120680-74123218:1	processed_pseudogene	formin binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44528]	.	0	Zhang 2020	1	yes
P2RX5-TAX1BP3	ENSG00000257950	17:3663063-3696194:-1	protein_coding	P2RX5-TAX1BP3 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49191]	.	0	This study	1	yes
ENSG00000258066	ENSG00000258066	12:77775783-77783576:1	lncRNA	novel transcript	This study	1	.	0	yes
ENSG00000258081	ENSG00000258081	14:26599755-27295516:1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
MAP1LC3B2	ENSG00000258102	12:116548105-116576606:1	protein_coding	microtubule associated protein 1 light chain 3 beta 2 [Source:HGNC Symbol;Acc:HGNC:34390]	Barone 2020	1	.	0	yes
ENSG00000258177	ENSG00000258177	12:96222797-96223973:-1	lncRNA	novel transcript, antisense to ELK3	Llonch 2021	1	.	0	yes
RPL10P13	ENSG00000258245	12:75688794-75689096:-1	processed_pseudogene	ribosomal protein L10 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:52346]	This study	1	.	0	yes
CHURC1	ENSG00000258289	14:64914361-64944591:1	protein_coding	churchill domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20099]	.	0	Grondahl 2010	1	yes
C17orf49	ENSG00000258315	17:7014495-7017525:1	protein_coding	chromosome 17 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28737]	This study	1	.	0	yes
SPESP1	ENSG00000258484	15:68818221-68946811:1	protein_coding	sperm equatorial segment protein 1 [Source:HGNC Symbol;Acc:HGNC:15570]	.	0	Ntostis 2021	1	yes
ENSG00000258558	ENSG00000258558	14:30734926-30822702:-1	lncRNA	novel transcript, antisense to SCFD1	This study	1	.	0	yes
LINC-ROR	ENSG00000258609	18:57054558-57072119:-1	lncRNA	long intergenic non-protein coding RNA, regulator of reprogramming [Source:HGNC Symbol;Acc:HGNC:43773]	.	0	Barone 2020	1	yes
LINC02303	ENSG00000258616	14:45706250-45715952:-1	lncRNA	long intergenic non-protein coding RNA 2303 [Source:HGNC Symbol;Acc:HGNC:53222]	Llonch 2021	1	.	0	yes
ENSG00000258634	ENSG00000258634	1:110058340-110062555:1	lncRNA	novel transcript, antisense to ALX3	Llonch 2021	1	.	0	yes
ENSG00000258637	ENSG00000258637	14:79661666-79791263:-1	lncRNA	novel transcript, antisense to NRXN3	This study	1	.	0	yes
LINC00638	ENSG00000258701	14:104821201-104823718:1	lncRNA	long intergenic non-protein coding RNA 638 [Source:HGNC Symbol;Acc:HGNC:28325]	Barone 2020	1	.	0	yes
ENSG00000258751	ENSG00000258751	14:48394815-48491767:-1	lncRNA	novel transcript	.	0	This study	1	yes
ENSG00000258784	ENSG00000258784	14:55748208-55773203:1	lncRNA	novel transcript	This study	1	.	0	yes
LINC00520	ENSG00000258791	14:55781132-55796731:-1	lncRNA	long intergenic non-protein coding RNA 520 [Source:HGNC Symbol;Acc:HGNC:19843]	Zhang 2020	1	.	0	yes
ENSG00000258803	ENSG00000258803	14:56514331-56551309:1	lncRNA	novel transcript	This study	1	.	0	yes
BLOC1S5-TXNDC5	ENSG00000259040	6:7881522-8064364:-1	protein_coding	BLOC1S5-TXNDC5 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:42001]	.	0	This study	1	yes
NDUFC2-KCTD14	ENSG00000259112	11:78016971-78079865:-1	protein_coding	NDUFC2-KCTD14 readthrough [Source:HGNC Symbol;Acc:HGNC:42956]	.	0	Ntostis 2021	1	yes
ENSG00000259132	ENSG00000259132	14:22946270-22982258:-1	protein_coding	novel protein	Llonch 2021	1	.	0	yes
LINC00924	ENSG00000259134	15:95326528-95507865:1	lncRNA	long intergenic non-protein coding RNA 924 [Source:HGNC Symbol;Acc:HGNC:27081]	Barone 2020	1	.	0	yes
MAP3K9-DT	ENSG00000259153	14:70808811-70816935:1	lncRNA	MAP3K9 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53189]	Llonch 2021	1	.	0	yes
ENSG00000259345	ENSG00000259345	15:38865322-39427195:-1	lncRNA	novel transcript	This study	1	.	0	yes
LINC00927	ENSG00000259361	15:80263068-80341805:-1	lncRNA	long intergenic non-protein coding RNA 927 [Source:HGNC Symbol;Acc:HGNC:27522]	Barone 2020	1	.	0	yes
MRPL46	ENSG00000259494	15:88459477-88467390:-1	protein_coding	mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]	.	0	Ntostis 2021	1	yes
LINC00052	ENSG00000259527	15:87576929-87579866:1	lncRNA	long intergenic non-protein coding RNA 52 [Source:HGNC Symbol;Acc:HGNC:26455]	Zhang 2020	1	.	0	yes
UBE2Q2P8	ENSG00000259633	15:84255913-84256014:1	unprocessed_pseudogene	UBE2Q2 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:49521]	.	0	Ntostis 2021	1	yes
PIGHP1	ENSG00000259657	15:59676757-59677321:1	processed_pseudogene	phosphatidylinositol glycan anchor biosynthesis class H pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45152]	.	0	Ntostis 2021	1	yes
ENSG00000259684	ENSG00000259684	15:50557601-50560500:1	lncRNA	novel transcript, antisense to TRPM7	.	0	Llonch 2021	1	yes
LINC01418	ENSG00000259692	15:81633426-82013579:-1	lncRNA	long intergenic non-protein coding RNA 1418 [Source:HGNC Symbol;Acc:HGNC:50711]	.	0	This study	1	yes
CSPG4P11	ENSG00000259726	15:84186752-84197384:1	transcribed_unprocessed_pseudogene	chondroitin sulfate proteoglycan 4 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:48363]	.	0	Ntostis 2021	1	yes
ZFHX3-AS1	ENSG00000259768	16:72665123-72828293:1	lncRNA	ZFHX3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56033]	Llonch 2021	1	.	0	yes
HMGB1P6	ENSG00000259781	15:71164770-71165415:-1	processed_pseudogene	high mobility group box 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:4998]	Llonch 2021	1	.	0	yes
RAB43P1	ENSG00000259856	16:46626404-46626992:-1	processed_pseudogene	RAB43 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33153]	.	0	Ntostis 2021	1	yes
DYNLRB2-AS1	ENSG00000259867	16:80154979-80563354:-1	lncRNA	DYNLRB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55405]	.	0	This study	1	yes
ACTG1P15	ENSG00000259904	15:34373541-34374603:-1	processed_pseudogene	actin gamma 1 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:51495]	.	0	Ntostis 2021	1	yes
ENSG00000259907	ENSG00000259907	14:71181456-71182106:1	lncRNA	novel transcript	.	0	This study	1	yes
LCMT1-AS2	ENSG00000260034	16:25140577-25149032:-1	lncRNA	LCMT1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:51178]	.	0	Ntostis 2021	1	yes
ENSG00000260198	ENSG00000260198	16:56300616-56302904:1	lncRNA	novel transcript, sense intronic to GNAO1	This study	1	.	0	yes
FRRS1L	ENSG00000260230	9:109130293-109167249:-1	protein_coding	ferric chelate reductase 1 like [Source:HGNC Symbol;Acc:HGNC:1362]	Barone 2020	1	.	0	yes
ENSG00000260257	ENSG00000260257	20:32856621-32858751:1	lncRNA	novel transcript	.	0	Llonch 2021	1	yes
MRC1	ENSG00000260314	10:17809348-17911164:1	protein_coding	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	.	0	Pan 2008	1	yes
ENSG00000260412	ENSG00000260412	9:27937617-27944497:-1	lncRNA	novel transcript, overlapping LINGO2	Llonch 2021	1	.	0	yes
SCX	ENSG00000260428	8:144266453-144268481:1	protein_coding	scleraxis bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:32322]	.	0	Ntostis 2021	1	yes
GEMIN8P2	ENSG00000260451	16:58776540-58777563:1	processed_pseudogene	gem nuclear organelle associated protein 8 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37977]	.	0	Ntostis 2021	1	yes
COSMOC	ENSG00000260552	18:36179996-36187475:-1	lncRNA	cell fate and sterol metabolism associated divergent transcript of MOCOS [Source:HGNC Symbol;Acc:HGNC:51610]	.	0	This study	1	yes
ENSG00000260643	ENSG00000260643	16:81053587-81096296:-1	protein_coding	novel protein	This study	1	.	0	yes
ANKRD20A1	ENSG00000260691	9:67832765-67920552:1	protein_coding	ankyrin repeat domain 20 family member A1 [Source:HGNC Symbol;Acc:HGNC:23665]	Llonch 2021	1	.	0	yes
TLE7	ENSG00000260734	16:71429980-71442054:-1	protein_coding	TLE family member 7 [Source:HGNC Symbol;Acc:HGNC:53648]	.	0	Ntostis 2021	1	yes
LINC01227	ENSG00000260737	16:80553256-80572808:-1	lncRNA	long intergenic non-protein coding RNA 1227 [Source:HGNC Symbol;Acc:HGNC:49680]	.	0	This study	1	yes
CYP2C60P	ENSG00000260863	10:95009674-95009812:1	unprocessed_pseudogene	cytochrome P450 family 2 subfamily C member 60, pseudogene [Source:HGNC Symbol;Acc:HGNC:42410]	.	0	Ntostis 2021	1	yes
ARLNC1	ENSG00000260896	16:80826074-80892682:-1	lncRNA	androgen receptor regulated long noncoding RNA 1 [Source:HGNC Symbol;Acc:HGNC:53032]	.	0	This study	1	yes
CCPG1	ENSG00000260916	15:55340032-55408510:-1	protein_coding	cell cycle progression 1 [Source:HGNC Symbol;Acc:HGNC:24227]	.	0	Pan 2008	1	yes
ENSG00000260920	ENSG00000260920	1:40464319-40466767:1	lncRNA	novel transcript, sense overlapping with ZNF643	Llonch 2021	1	.	0	yes
ENSG00000260958	ENSG00000260958	16:35207884-35284146:1	lncRNA	novel transcript	Llonch 2021	1	.	0	yes
LINC01572	ENSG00000261008	16:72236281-72665014:-1	lncRNA	long intergenic non-protein coding RNA 1572 [Source:HGNC Symbol;Acc:HGNC:51385]	Llonch 2021	1	.	0	yes
LINC02188	ENSG00000261175	16:86710122-86742083:1	lncRNA	long intergenic non-protein coding RNA 2188 [Source:HGNC Symbol;Acc:HGNC:53050]	This study	1	.	0	yes
BOP1	ENSG00000261236	8:144262045-144291438:-1	protein_coding	BOP1 ribosomal biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15519]	This study	1	.	0	yes
ANKRD26P1	ENSG00000261239	16:46518305-46568915:-1	transcribed_unprocessed_pseudogene	ankyrin repeat domain 26 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32955]	.	0	Barone 2020	1	yes
TP53TG3GP	ENSG00000261274	16:35207903-35208236:-1	unprocessed_pseudogene	TP53 target 3 family member G, pseudogene [Source:HGNC Symbol;Acc:HGNC:51818]	Ntostis 2021	1	.	0	yes
PECAM1	ENSG00000261371	17:64319415-64413776:-1	protein_coding	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	Zhang 2020	1	.	0	yes
VPS9D1-AS1	ENSG00000261373	16:89711856-89718165:1	lncRNA	VPS9D1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48915]	This study	1	.	0	yes
